第一作者,最后作者,年份,期刊,文章_编号,研究,样本_数量,女性数量,种族_高加索人,种族_蒙古人,种族_黑人,种族_其他,组别,年龄_平均数_组1,年龄_平均数_组2,年龄_平均数_组3,年龄_最小值_组1,年龄_最小值_组2,年龄_最小值_组3,年龄_最大值_组1,年龄_最大值_组2,年龄_最大值_组3,教育_组1,教育_组2,教育_组3,招募_渠道,数据_收集_地点,,,
Bach,Leménager,2021,European Archives of Psychiatry and Clinical Neuroscience,Bach_2021_ EurArchPsychiatryClinNeurosci,1,40,0,NA,NA,NA,NA,Healthy,21.23,NA,NA,18,NA,NA,27,NA,NA,NA,NA,NA,advertisement,"Mannheim, Germany",,,
BeNoit,Burgess,2010,NeuroImage,BeNoit_2010_Neurolmage,1,13,5,100%,0,0,0,Healthy,24.2,NA,NA,19.4,NA,NA,31,NA,NA,NA,NA,NA,NA,"London, UK",,,
Chen,Heatherton,2015,Cult Brain,Chen_2015_CultBrain,1,27,13,0,100%,0,0,Healthy,NA,NA,NA,21,NA,NA,27,NA,NA,graduate students,NA,NA,Dartmouth College,"Ohio, US",,,
Cikara,Saxe,2014,Neuroimage,Cikara_2014_Neuroimage,1,21,11,NA,NA,NA,NA,Healthy,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University,"Pennsylvania, US",,,
D'Argembeau,Salmon,2007,Journal of Cogntive Neuroscience,D'Argembeau_2007_JCognNeurosci,1,17,11,NA,NA,NA,NA,Healthy,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University of Liege,"Liège, Belgium",,,
Fields,Kuperberg,2019,Social Cognitive and Affective Neuroscience,Fields_2019_SocCognAffectNeurosci,1,17,17,0,5.88%,0,94.12%,Healthy,20.7,NA,NA,18,NA,NA,23,NA,NA,NA,NA,NA,University,"Massachusetts, US",,,
Fossati,Mayberg,2003,American Journal of Psychiatry,Fossati_2003_AmJPsychiatry,1,10,7,NA,NA,NA,NA,Healthy,25.8,NA,NA,NA,NA,NA,17.9,NA,NA,17.9,NA,NA,University of Toronto community,NA,,,
Fuentes,Salvador,2020,NeuroImage: Clinical,Fuentes_2020_NeurolmageClin,1,50,17,0,0,0,0,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,graduates or undergraduates,NA,NA,hospitals and communities,"Barcelona, Spain",,,
Furuichi,Suzuki,2019,Asian Journal of Psychiatry,Furuichi_2019_AsianJPsychiatr,1,28,14,NA,NA,NA,NA,"Healthy, Unhealthy",27,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hospitals; communities,"Toyama, Japan",,,
Gutchess,Schacter,2007,Social Neuroscience,Gutchess_2007_SocNeurosci,1,36,21,NA,NA,NA,NA,"Young, Elderly",23,72,NA,18,61,NA,28,80,NA,15.84,15.35,NA,"Harvard University,Massachusetts General Hospital","Massachusetts, US",,,
Gutchess,Schacter,2010,Social Neuroscience,Gutchess_2010_SocNeurosci,2,32,19,NA,NA,NA,NA,"Young, Elderly",23.34,71.6,NA,18,61,NA,28,80,NA,NA,NA,NA,"Harvard University,Massachusetts General Hospital","Massachusetts, US",,,
Han,Ma,2008,Social Neuroscience,Han_2008_SocNeurosci-UK,1,28,14,0,100%,0,0,Healthy,23.05,NA,NA,19,NA,NA,41,NA,NA,NA,NA,NA,Peking University,"Beijing, China",,,
Han,Ma,2010,Social Cognitive and Affective Neuroscience,Han_2010_SocCognAffectNeurosci,1,14,7,0,100%,0,0,Healthy,25.4,NA,NA,21,NA,NA,31,NA,NA,college,NA,NA,Peking University,"Beijing,China",,,
Heatherton,Kelley,2006,Social Cognitive and Affective Neuroscience,Heatherton_2006_SCAN,1,30,16,NA,NA,NA,NA,Healthy,24,NA,NA,18,NA,NA,31,NA,NA,NA,NA,NA,Local Dartmouth community,"New Hampshire, US",,,
Herold,Bermpohl,2015,Brain Struct Funct,Herold_2015_BrainStructFunct,1,28,14,NA,NA,NA,NA,Healthy,38.57,NA,NA,30,NA,NA,50,NA,NA,NA,NA,NA,Charite Universitatsmedizin,"Berlin,Germany",,,
Herold,Felix Bermpohl,2017,Journal of Affective Disorders,Herold_2017_JAffectDisord,1,28,8,100%,0,0,0,"Healthy, Unhealthy",38.07,33.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neuruppin, Germany",,,
Hornung,Derntl,2019,Frontiers in Behavioral Neuroscience,Hornung_2019_FrontBehavNeurosci,1,34,17,100%,0,0,0,Healthy,33.59,NA,NA,NA,NA,NA,NA,NA,NA,14.47,NA,NA,RWTH Aachen University,"Aachen, Germany",,,
Jenkins,Mitchell,2011,Social Neuroscience,Jenkins_2011_SocNeurosci,1,15,10,100%,0,0,0,Healthy,21.2,NA,NA,19,NA,NA,32,NA,NA,NA,NA,NA,"Harvard University, Cambridge","Massachusetts, US",,,
Kedia,Linden,2017,Social Neuroscience,Kedia_2017_SocNeurosci,1,18,18,100%,0,0,0,Healthy,20.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cardiff University,"Cardiff, UK",,,
Kelly,Heatherton,2002,Journal of Cogntive Neuroscience,Kelly_2002_JCognNeurosci,1,21,9,100%,0,0,0,Healthy,20,NA,NA,18,NA,NA,30,NA,NA,NA,NA,NA,the local Dartmouth community,"New Hampshire, US",,,
Knyazev,Rudych,2020,Frontiers in Human Neuroscience,Knyazev_2020_FrontHumNeurosci,1,47,26,0,100%,0,0,Healthy,23.5,NA,NA,NA,NA,NA,NA,NA,NA,"Undergraduates, postgraduates and staff members",NA,NA,"Novosibirsk, Russia",Novosibirsk State University,,,
Koski,Beer,2020,NeuroImage,Koski_2020_Neurolmage,1,44,44,39.50%,30.30%,9.30%,20.90%,Healthy,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University of Texas,"Austin, USA",,,
Koski,Beer,2020,NeuroImage,Koski_2020_Neurolmage,2,48,48,47.90%,14.5%,6.30%,31.30%,Healthy,20.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,University of Texas,"Austin, USA",,,
L. Zhu,Yang,2012,Hippocampus,L.Zhu_2012_Hippocampus,1,14,10,0,100%,0,0,Healthy,22.64,NA,NA,20,NA,NA,30,NA,NA,NA,NA,NA,university,Shanghai，China,,,
Laurita,Spreng,2020,Social Cognitive and Affective Neuroscience,Laurita_2020_SocCognAffectNeurosci,1,56,28,NA,NA,NA,NA,"Young, Elderly",24,67,NA,29,27,NA,29,27,NA,29,27,NA,"Cornell University,","New York, USA",,,
Li,Wu,2019,Neuroscience Letters,Li_2019_NeurosciLett,1,40,20,0,100%,0,0,Healthy,19.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peking University,"Beijing,China",,,
