变量名称,变量说明,变量值,变量类型
第一作者,署名排在第一位的作者,NA,分类数据
最后作者,署名排在最后一位的作者,NA,分类数据
年份,期刊发表的年份,NA,数值数据
期刊,期刊名称,NA,分类数据
研究,文章中独立研究的顺序,NA,数值数据
文章_编号,文章编号,作者_年份_期刊,分类数据
自我参照效应定义(字面),作者在文章中对 SRE 的定义,NA,分类数据
由对照点定义的自我参照效应,自我参照效应是如何在神经层面由对照点定义的,NA,分类数据
由对照点定义的自我参照效应（简化）,对照点被简化为自我，亲近之人，陌生人，非人的代表,NA,分类数据
任务名称,任务的名称,NA,分类数据
"是否偏离Rogers, 1977",实验设计是否与罗杰斯（1977）不同,是，否,分类数据
实验设计,实验是如何设计的,被试内，被试间，混合,分类数据
自变量,其值不依赖于另一个变量的变量,NA,分类数据
刺激_模态,刺激模态,视觉的，听觉的,分类数据
刺激_内容,刺激内容,人格特征，非人格特征描述，视频，图片,分类数据
刺激_类型,刺激类型,NA,分类数据
任务_阶段1_是否在扫描仪内,研究的第一个阶段是否在fMRI中进行,是，否,分类数据
任务_阶段1_反应类型,参与者可用的选择,NA,分类数据
任务_阶段1_反应方式,参与者如何对刺激做出反应,NA,分类数据
任务_阶段1_总试次,总试验次数,NA,数值数据
任务_阶段1_每区块(block)次试次,每个区块(block)的试验次数,NA,数值数据
任务_阶段2_是否在扫描仪内,研究的第二个阶段是否在fMRI中进行,是，否,分类数据
任务_阶段2_反应类型,参与者可用的选择,NA,分类数据
任务_阶段2_反应方式,参与者如何对刺激做出反应,NA,分类数据
任务_阶段2_总试次,总试验次数,NA,数值数据
任务_阶段2_每区块(block)次试次,每个区块(block)的试验次数,NA,数值数据
功能核磁共振_数据提取_系统,磁共振成像设备系统,NA,分类数据
功能核磁共振_数据提取_磁场,磁共振成像设备的磁场,NA,分类数据
功能核磁共振_软件_数据分析,分析中使用的软件,NA,分类数据
功能核磁共振_结果_条件,实验条件,NA,分类数据
功能核磁共振_结果_文件名称,磁共振成像结果的文件名,NA,分类数据
