First_Author,Article_ID,Participant,Modality,Stimuli,Task,Phase_1,Phase_2,Control_conditions,Contrast,Freq
Bach,Bach_2021_ Eur Arch  Psychiatry Clin Neurosci,Germany,visual_auditory,video,self_rating,watch_calculate,NA,stranger,stranger,1
Benoit,Benoit_2010_Neurolmage,UK,visual,traits,trait_judgment,rating,retrieval_out_scanner,close/nonPerson,multi,1
Chen,Chen_2015_Cult Brain,China_MoreEastern/LessEastern,visual,traits,trait_judgment,judgment,NA,close,close,1
Cikara,Cikara_2014_Neuroimage,US,visual,statements,trait_judgment,judgment,NA,celebrity,celebrity,1
D'Argembeau,D'Argembeau_2007_J Cogn Neurosci,France,visual,traits,trait_judgment,rating,NA,close,close,1
Fields,Fields_2019_Soc Cogn Affect Neurosci,US,visual,two-sentences scenarios,trait_judgmnet,judgment,NA,nonPerson,NP,1
Fossati,Fossati_2003_Am J Psychiatry,English,visual,traits,trait_judgment,judgment,retrieval_out_scanner,nonPerson,NP,1
Fuentes,Fuentes_2020_Neurolmage Clin,Spanish,visual,statements,trait_judgment,judgment,NA,nonPerson,NP,1
Furuichi,Furuichi_2019_Asian J Psychiatr,Japanese,visual,statements,trait_judgment,judgment,NA,nonPerson/close,multi,1
Gutchess,Gutchess_2007_Soc Neurosci,US,visual,traits,trait_judgment,judgment,retrieval_out_scanner,celebrity,celebrity,1
Gutchess,Gutchess_2010_Soc Neurosci,US,visual,traits,trait_judgment,judgment,retrieval_out_scanner,celebrity,celebrity,1
Han,Han_2008_Soc Neurosci-UK,China_Non-religious/Christians,visual,traits,trait_judgment,judgment,retrieval_out_scanner,nonPerson,NP,1
Han,Han_2010_Soc Cogn Affect Neurosci,China,visual,traits,trait_judgment,judgment,retrievalRK_out_scanner,celebrity/nonPerson,multi,1
Heatherton,Heatherton_2006_SCAN,US,visual,traits,trait_judgment,judgment,retrieval_out_scanner,close/nonPerson,multi,1
Herold,Herold_2015_Brain Struct Funct,Germany,visual,pictures,trait_judgment,judgment,retrieval_in_scanner,nonPerson,NP,1
Herold,Herold_2017_J Affect Disord,Germany,visual,pictures,trait_judgment,judgment,retrieval_in_scanner,nonPerson,NP,1
Hornung,Hornung_2019_Front Behav Neurosci,Germany,visual,traits,trait_judgment,judgment,NA,celebrity/nonPerson,multi,1
Jenkins,Jenkins_2011_Soc Neurosci,US,visual,traits,trait_judgment,rating,NA,celebrity,celebrity,1
Kedia,Kedia_2017_Soc Neurosci,English,visual,pictures,attractive_judgment,judgment,NA,close,close,1
Kelly,Kelly_2002_J Cogn Neurosci,US,visual,traits,trait_judgment,judgment,retrieval_out_scanner,celebrity,celebrity,1
Knyazev,Knyazev_2020_Front Hum Neurosci,Russian,visual,traits,trait_judgment,judgment,NA,close,close,1
