// Reference=MNI
// Bach, 2021: self>familiar + unknown person (healthy, T1, mean=21.14, sd=2.33) 
// Standardized name for contrast: self>stranger 
// Subjects=29
-42	12	-2
30	24	6
4	28	26

// Koski, 2020: Self>Unrelated other (study2, 48 females, mean=20.16, sd=2.27) 
// Standardized name for contrast: self>stranger 
// Subjects=48
56	74	56
72	40	50
54	52	47
35	88	55

// Ochsner, 2005: You about Self>You About Other (exp2, 9 females, mean=22.95)
// Standardized name for contrast: self>stranger 
// Subjects=16
36	42	10
46	-54	44
-18	22	56
-12	40	42
8	32	32

// Yin, 2021: self-friend>friend-stranger (11 females, mean=20.47, sd=0.97) 
// Standardized name for contrast: self>stranger 
// Subjects=28
-12	66	-3
-36	27	-9
-27	-72	57
24	-75	60

// Zhu, 2007: self>other (Western, 5 females, mean=23.1, sd=2.33) 
// Standardized name for contrast: self>stranger 
// Subjects=13 
0	51	3
-6	33	0

// Zhu, 2007: self>other (Chinese, 5 females, mean=21.5, sd=1.13) 
// Standardized name for contrast: self>stranger 
// Subjects=13 
8	55	6
-6	36	20
-24	57	12

// Reference=MNI
// Cikara, 2014: self>other (11 females, mean=23.1, collapsing across moral/communication)
// Standardized name for contrast: self>celebrity 
// Subjects=21
-40	52	10
-32	48	20
-44	48	-4
-42	-56	52
-38	-58	50
-36	-60	52
-62	-46	-10
-56	-34	-8
-56	-24	-18
-48	12	42
-42	10	36
-36	6	34

// Gutchess, 2007: self>other (Young, 10 females, mean=23.11, sd=2.85, 18-28)
// Standardized name for contrast: self>celebrity 
// Subjects=19
-4	34	14
-6	40	0
-4	12	4
-68	-48	22
-56	-48	18
-24	54	24
28	52	42
-26	38	42

// Gutchess, 2010: Self Remembered>Other Remembered (Young, 8 females, mean=23.24, sd=2.63)
// Standardized name for contrast: self>celebrity 
// Subjects=17
-8	42	-2
-6	36	14
10	40	-2
-64	-46	18

// Han, 2010: self>Zhu Rongji (7 females, mean=25.4, sd=2.46)
// Standardized name for contrast: self>celebrity 
// Subjects=14
8	34	28
-4	-18	42
-34	10	-6

// Hornung, 2019: Self>Julia Roberts or Brad Pitt (17 females, mean=33.59, sd=13.09) 
// Standardized name for contrast: self>celebrity 
// Subjects=34
-3	38	5
-47	-49	26
28	-81	-34
47	-34	1

// Jenkins, 2011: self>other (personality, 10 females, mean=21.2, 19-32)
// Standardized name for contrast: self>celebrity 
// Subjects=15
36	20	-6
-36	14	-6
62	6	6
34	-64	56
-22	-64	58
14	18	4
-12	14	6
-32	48	16
-22	56	32
48	2	38
-58	-36	16
48	-68	-8
-44	-66	-4

// Kelley, 2002: self>Bush (9 females, mean=20, 18-30) 
// Standardized name for contrast: self>celebrity 
// Subjects=21
11.66	57.01	-8.18
14.89	-44.35	55.58

