第一作者,最后作者,年份,期刊,研究,文章_编号,自我参照效应定义(字面),由对照点定义的自我参照效应,标准化的控制条件,任务名称,"是否偏离Rogers, 1977",实验设计,自变量1,自变量2,自变量3,刺激_模态,刺激_内容,刺激_类型,任务_阶段1_名称,任务_阶段2_名称,任务_阶段1_是否在扫描仪内,任务_阶段1_反应类型,任务_阶段1_反应方式,任务_阶段1_总试次,任务_阶段1_每区块(block)内试次,任务_阶段2_是否在扫描仪内,任务_阶段2_反应类型,任务_阶段2_反应方式,任务_阶段2_总试次,任务_阶段2_每区块(block)内试次,功能核磁共振_数据提取_系统,功能核磁共振_数据提取_磁场,功能核磁共振_软件_数据分析,功能核磁共振_结果_条件,功能核磁共振_结果_文件名称
Bach,Leménager,2021,European Archives of Psychiatry and Clinical Neuroscience,1,Bach_2021_ EurArchPsychiatryClinNeurosci,As the cognitive representation of beliefs about oneself,self > familiar + unknown person,self>stranger,self_rating,yes,within,"self, familiar other and unknown other",NA,NA,visual_auditory,video,"positive, negative",watch_calculate,NA,yes,NA,NA,12,4,NA,NA,NA,NA,NA,Tesla MR scanner,3T,SPM12,"self, familiar other, unknown other",Bach_2021_ EurArchPsychiatryClinNeurosci.txt
Benoit,Burgess,2010,NeuroImage,1,Benoit_2010_Neurolmage,NA,"self>syllables, self>other","self>close,self>nonPerson",trait_judgment,no,within,"self, Friend, Syllables","Sure yes, Unsure yes, Unsure no, Sure no",NA,visual,traits,number of syllables,rating,retrieval_out_scanner,yes,"sure yes, unsure yes, unsure no, sure no",press keys,180,45,no,"yes, sure yes, unsure yes, unsure no, sure no",press keys,180,45,Siemens Avanto MRI scanner,1.5T,SPM5,"self, firend, syllables",Benoit_2010_Neurolmage.txt
Chen,Heatherton,2015,Cult Brain,1,Chen_2015_CultBrain,NA,self >mother,self>close,trait_judgment,no,within,"self, mother, font",NA,NA,visual,traits,"positive, negative",judgment,NA,yes,"yes,no",NA,240,60,NA,NA,NA,NA,NA,Philips Intera Achieva,3T,SPM8,"self, mother, font",Chen_2015_CultBrain.txt
Cikara,Saxe,2014,Neuroimage,1,Cikara_2014_Neuroimage,NA,self>other,self>celebrity,trait_judgment,no,within,"self, other",NA,NA,visual,statements,"positive, negative",judgment,NA,yes,"yes, no",press buttons,160,10,NA,NA,NA,NA,NA,Siemens Magnetom Tim Trio,3T,SPM8,"self, other",Cikara_2014_Neuroimage.txt
D'Argembeau,Salmon,2007,Journal of Cogntive Neuroscience,1,D'Argembeau_2007_JCognNeurosci,NA,"self>other, third person perspective > first person perspective",self>close,trait_judgment,yes,within,"first person perspective, thid person perspective","self, other",NA,visual,traits,NA,rating,NA,yes,"not at all, a little, quite well, completely",press buttons,160,4,NA,NA,NA,NA,NA,"Siemens, Allegra, Erlangen, Germany",3T,SPM2,"self, other",D'Argembeau_2007_JCognNeurosci.txt
Fields,Kuperberg,2019,Social Cognitive and Affective Neuroscience,1,Fields_2019_SocCognAffectNeurosci,Self-positivity bias: people tend to view themselves in an unrealistically positive light when compared to others or objective standards.,self > other,self>nonPerson,trait_judgmnet,no,within,"self, non-self",NA,NA,visual,two-sentences scenarios,"positive, negative, neutral",judgment,NA,yes,NA,answer questions,2166,216,NA,NA,NA,NA,NA,Siemens Trio scanner,3T,SPM8,"self, non-self",Fields_2019_SocCognAffectNeurosci.txt
Fossati,Mayberg,2003,American Journal of Psychiatry,1,Fossati_2003_AmJPsychiatry,NA,self>other,self>nonPerson,trait_judgment,no,within,"self-referential processing, other-referential processing, and letter recognition",NA,NA,visual,traits,"positive, negative",judgment,retrieval_out_scanner,yes,"yes, no",press buttons,120,10,no,"yes, no",press buttons,NA,NA,General Electric Medical Systems,1.5T,AFNI,"self, other, letter-recognition",Fossati_2003_AmJPsychiatry.txt
Fuentes-Claramonte,Salvador,2020,NeuroImage: Clinical,1,Fuentes_2020_NeurolmageClin,NA,"self>facts, other>facts",self>nonPerson,trait_judgment,yes,between,"self, other(acquaintance), Facts (general knowledge)","Healthy, unhealthy",NA,visual,statements,"positive, negative, neutral",judgment,NA,yes,definitely inappropriate; probably inappropriate; definitely appropriate,press buttons,54,18,NA,NA,NA,NA,NA,Philips Achieva scanner,3T,FSL,"self, other and semantic processing",Chen_2015_CultBrain.txt
Furuichi,Suzuki,2019,Asian Journal of Psychiatry,1,Furuichi_2019_AsianJPsychiatr,NA,"self>button, (self>button) >(other >button)","self>nonPerson,self>close",trait_judgment,no,between,"self, other, simple button press","Healthy, unhealthy",NA,visual,statements,NA,judgment,NA,yes,"yes, no",press buttons,90,38451,NA,NA,NA,NA,NA,Magnetom Vision scanner,1.5T,SPM8,"self, other, button",Furuichi_2019_AsianJPsychiatr.txt
Gutchess,Schacter,2007,Social Neuroscience,1,Gutchess_2007_SocNeurosci,The self-reference effect (self vs. other person),self.young>other.young,self>celebrity,trait_judgment,no,between,"self, other, case","young, elderly",NA,visual,traits,"positive, negative",judgment,retrieval_out_scanner,yes,"yes, no",press buttons,144,48,no,"yes, no",press buttons,144,NA,Siemens Allegra scanner,3T,SPM2,"self, other, case",Gutchess_2007_SocNeurosci.txt
