First Author,,,Benoit,Chen,Cikara,D'Argembeau,Fields,Fossati,Gutchess,Gutchess,Han,Han,Heatherton,Herold,Hornung,Jenkins,Kedia,Kelly,Knyazev,Koski,Koski,L. Zhu,Laurita,Li,Long,Lou,Ma,Martial,Modinos,Modinos,Moran,Noll,Ochsner,Ochsner,Oetken,Pauly,Pfeifer,Powell,Powell,Schmitz,Sul,Sul,Van,van der Cruijsen,Vanderwal,W. Yang,Wade-Bohleber,Wang,Wang,Wu,Zhang,Zhang,Yang,Yang,Yaoi,Yin,Yoshimura,Zeng,Zhang,Zhang
Last Author,,,Burgess,Heatherton,Saxe,Salmon,Kuperberg,Mayberg,Schacter,Schacter,Ma,Ma,Kelley,Bermpohl,Derntl,Mitchell,Linden,Heatherton,Rudych,Beer,Beer,Yang,Spreng,Wu,Cunningham,Lisanby,,D'Argembeau,Áleman,Aleman,Gabrieli,Fisher,D’Esposito,D’Esposito,Pohl,Habel,Dapretto,Mitchell,Mitchell,Johnson,Kang,Kang,Vink,Crone,Schultz,Q.Zhang,Richter,Han,Sui,Zhang,Y.Zhu,Y.Zhu,Zhang,Han,Osaka,Egner,Yamawaki,Yang,Y.Zhu,Y.Zhu
Year,,,2010,2015,2014,2007,2019,2003,2007,2010,2008,2010,2006,2015,2019,2011,2019,2002,2020,2020,2020,2012,2020,2019,2020,2004,2014,2018,2009,2011,2011,2018,2005,2005,2017,2013,2007,2010,2010,2004,2011,2011,2010,2017,2008,2013,2019,2012,2016,2010,2006,2006,2012,2016,2015,2021,2009,2021,2006,2006
Journal,,,NeuroImage,Cult Brain,Neuroimage,Journal of Cognitive Neuroscience,Social Cognitive and Affective Neuroscience,Am J Psychiatry,Social Neuroscience,Social Neuroscience,Social Neuroscience,Social Cognitive and Affective Neuroscience,SCAN,Brain Struct Funct,Frontiers in Behavioral Neuroscience,Soc Neurosci,Soc Neurosci,Journal of Cognitive Neuroscience,Frontiers in Human Neuroscience,NeuroImage,NeuroImage,Hippocampus,Social Cognitive and Affective Neuroscience,Neuroscience Letters,Cortex,PNAS,,Brain and Cognition,PLoS One,Neuropsychology,Journal of Cognitive Neuroscience,Social Cognitive and Affective Neuroscience,Neuroimage,Neuroimage,Neuropsychologia,SCAN,Journal of Cognitive Neuroscience,J Cogn Neurosci,J Cogn Neurosci,Neuroimage,Social Neuroscience,Social Neuroscience,Human Brain Mapping,Brain and Cognition,Neuroimage,PLoS One,Behavioural Brain Research,Social Cognitive and Affective Neuroscience,Frontiers in Psychology,Soc Cogn Affect Neurosci,Sci China C Life Sci,Sci China C Life Sci,Neuropsychologia,Nature,Front Hum Neurosci,The Journal of Neuroscience,Brain and Cognition,Journal of Personality,Sci China C Life Sci,Sci China C Life Sci
Study,,,1,1,1,1-Jan,1,1-Jan,1,1,1,1,1,1,1,1,1,1,1,1,2-Jan,1,1,1,1,1,,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
Coder*,,,WJQ,WJQ,WJQ,WJQ,WJQ,WJQ,WJQ,WJQ,WJQ,WJQ,WJQ,WJQ,WJQ,WJQ,WJQ,Shanshan,Shanshan,Shanshan,Shanshan,Shanshan,Shanshan,Shanshan,Shanshan,Shanshan,Shanshan,Shanshan,Shanshan,Shanshan,Shanshan,Shanshan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
Article_id,,,Benoit_2010_Neuroimage,Chen_2015_CultBrain,Cikara_2014_NeuroImage,D'Argembeau_2007_JCognNeurosci,Fields_2019_SocCognAffectNeurosci,Fossati_2003_AmJPsychiatry,Gutchess_2007_SocialNeurosci,Gutchess_2010_Soc Neurosci,Han_2008_Social Neurosci-UK,Han_2010_SocCognAffectNeur,Heatherton_2006_SCAN,Herold_2015_BrainStructFunct,Hornung_2019_FrontiersinBehvNeurosci,Jenkins_2011_SocNeurosci,Kedia_2017_SocialNeuroscience,Kelly_2002_JCognitiveNeurosci ,Knyazev_2020_FrontHumNeurosci,Koski_2020_NeuroImage_exp1,Koski_2020_NeuroImage_exp2,L. Zhu_2012_Hippocampus,Laurita_2020_SocCognAffectNeurosci,Li_2019_NeurosciLett,Long_2020_Cortex,Lou_2004_PNAS,Ma_2014_SocCognAffectNeurosci,Martial_2018_BrainandCognition,Modinos_2009_PLoSOne,Modinos_2011_Neuropsychology,Moran_2011_JCognitiveNeurosci,Noll_2018_SocCognAffectNeurosci,Ochsner_2005_NeuroImage_exp1,Ochsner_2005_NeuroImage_exp2,Oetken_2017_Neuropsychologia,Pauly_2013_SCAN,Pfeifer_2007_JCognitiveNeurosci,Powell_2010_JCognNeurosci_exp1,Powell_2010_JCognNeurosci_exp2,Schmitz_2004_NeuroImage,Sul_2011_SocNeurosci-UK_exp1,Sul_2011_SocNeurosci-UK_exp2,Van_2010_HumBrainMapp,Van_2017_BrainandCogn,Vanderwal_2008_NeuroImage,W.Yang_2013_PLoSOne,Wade-Bohleber_2019_BehaviouralBrainResearch,Wang_2012_SocCognAffectNeurosci,Wang_2016_FrontiersinPsychology,Wu_2010_SocCognAffectNeurosci,Y. Zhu_2007_NeuroImage,Yamawaki_2017_HumBrainMapp,Yang_2012_Neuropsychologia,Yang_2016_ScientificReports,Yaoi_2015_FrontiersinHumanNeurosci,Yin_2021_JNeuroscience,Yoshimura_2009_BrainCognition,Zeng_2021_JournalofPersonality,Zhang_2006_SciChinaCLifeSci_exp1,Zhang_2006_SciChinaCLifeSci_exp2
,group,content,,"More-Eastern,Less-Eastern",,,,,young，elderly,young，elderly,"non-religious,Christians",,,,"Women,Men",,,,,,,,"young,older","1PP,3PP",,,,,,"Low PP( psychosis proneness),High PP",,,,,NA,,"adults,children",,(only 15 finish Conceptual Self-reference Task),,,,,,NA,,NA,,,"Han,Tibetan",,,,,,,NA,,,
Sample,Demographics_group1,Size,13,14,21,17,17,10,19,17,14,14,30,28,17,15,18,21,47,44,48,14,29,20,38,13,,20,16,18,21,37,17,16,20,24,12,13,18,18,50,19,19,30,17,25,35,32,27,16,7,7,17,25,18,28,15,50,7,7
,,Female,5,6,11,11,17,7,10,8,6,7,16,14,17,10,18,9,26,44,48,10,16,10,22,7,,12,6,8,13,37,9,9,11,12,6,9,8,9,26,10,11,15,7,14,27,16,16,8,3,4,8,12,missing,11,8,27,3,4
,,Race/ethnicity,British,NA,NA,French speaking young adults,"non-Hispanic White (12), Hispanic (1), Asian (1), mixed Asian/White (2) and unreported (1)",,native English speaker,,native-Chinese-speaking,Chinese,NA,,,native English speakers,British Caucasian,American,NA,"9.3% African American, 30.3% Asian American, 18.6% Hispanic, 39.5% Caucasian and 2.3% Other Ethnicity","6.3% African American, 14.5% Asian American, 18.8% Hispanic, 47.9% Caucasian and 12.5% Other Ethnicity",NA,NA,Chinese,"29% East Asian, 23% South Asian, 16% White, 8% Black, 5% Middle Eastern. An additional 21% reported themselves to be mixed race,",Danish,,French-speaker,Dutch,NA,NA,"86.5% Caucasian, 8.1% Hispanic and 5.4% Asian/Pacific Islander",NA,NA,NA, German speakers,American,native English speakers,native English speakers,,Korean,Korean,NA,NA,NA,Chinese ,NA,Chinese,NA,Chinese,Chinese,Chinese,Chinese,NA,Japanese,NA,Japanese,Chinese,Chinese,Chinese
